Date,Score
5/28/2024 2:59:01 PM,10
5/28/2024 3:29:07 PM,10
5/28/2024 3:30:03 PM,20
5/28/2024 3:30:20 PM,10
5/28/2024 4:05:16 PM,10
5/28/2024 4:08:15 PM,10
5/28/2024 4:08:24 PM,10
5/28/2024 4:08:36 PM,10
5/28/2024 4:08:51 PM,10
5/28/2024 4:14:25 PM,10
5/28/2024 4:16:02 PM,10
5/28/2024 4:19:28 PM,10
5/28/2024 4:20:42 PM,10
5/28/2024 4:22:56 PM,10
5/28/2024 4:23:45 PM,10
5/28/2024 4:26:43 PM,10
5/28/2024 4:26:46 PM,10
5/28/2024 4:26:48 PM,10
5/28/2024 4:26:51 PM,10
5/28/2024 4:27:32 PM,10
5/28/2024 4:27:36 PM,10
5/28/2024 4:27:39 PM,10
5/28/2024 4:27:41 PM,10
5/28/2024 4:56:55 PM,150
5/28/2024 5:11:07 PM,20
5/28/2024 5:11:15 PM,30
5/28/2024 5:12:56 PM,10
5/28/2024 5:13:15 PM,40
5/28/2024 5:15:33 PM,10
5/28/2024 5:15:36 PM,10
5/28/2024 5:15:38 PM,10
5/28/2024 5:15:41 PM,10
5/28/2024 5:15:43 PM,10
5/29/2024 8:32:34 AM,140
5/29/2024 8:34:48 AM,20
5/29/2024 8:35:41 AM,30
5/29/2024 8:51:33 AM,40
5/29/2024 8:51:51 AM,90
5/29/2024 8:52:32 AM,130
5/29/2024 8:57:55 AM,20
5/29/2024 8:59:04 AM,20
5/29/2024 9:04:05 AM,110
5/29/2024 9:09:21 AM,100
5/29/2024 9:11:16 AM,230
5/29/2024 9:15:30 AM,200
5/29/2024 9:28:58 AM,30
5/29/2024 10:04:10 AM,10
5/29/2024 10:06:14 AM,30
5/29/2024 10:06:39 AM,30
5/29/2024 10:37:21 AM,10
5/29/2024 10:55:55 AM,10
5/29/2024 10:56:41 AM,70
5/29/2024 10:58:53 AM,70
5/29/2024 11:04:03 AM,10
5/29/2024 11:17:50 AM,70
5/29/2024 11:18:15 AM,20
5/29/2024 11:20:00 AM,90
5/29/2024 11:20:30 AM,60
5/29/2024 11:21:30 AM,140
5/29/2024 11:22:55 AM,130
5/29/2024 11:23:14 AM,60
5/29/2024 11:24:40 AM,180
5/29/2024 11:26:12 AM,130
5/29/2024 11:27:24 AM,50
5/29/2024 11:28:00 AM,120
5/29/2024 11:32:42 AM,170
5/29/2024 11:33:48 AM,110
5/29/2024 11:40:48 AM,380
5/29/2024 11:43:11 AM,960
5/29/2024 11:45:15 AM,230
5/29/2024 11:49:30 AM,160
5/29/2024 11:51:12 AM,520
5/29/2024 11:52:54 AM,270
5/29/2024 11:55:40 AM,120
5/29/2024 11:56:10 AM,120
5/29/2024 1:42:28 PM,370
5/29/2024 1:52:39 PM,110
5/29/2024 1:56:29 PM,390
5/29/2024 2:02:29 PM,210
5/29/2024 2:03:55 PM,280
5/29/2024 2:05:10 PM,380
5/29/2024 2:36:43 PM,30
5/29/2024 2:37:16 PM,30
5/29/2024 2:38:13 PM,50
5/29/2024 2:41:20 PM,90
5/29/2024 2:42:46 PM,540
5/29/2024 2:48:26 PM,490
5/29/2024 3:11:25 PM,140
5/29/2024 3:34:12 PM,170
5/29/2024 4:01:30 PM,170
5/29/2024 4:09:48 PM,0
